년도,행정구역읍면동코드,행정구역읍면동명,노인인구수,노인인구증감율,미성년자인구수,미성년자인구증감율,여자인구수,여자인구수증감율
2021,1147060000,신월5동,2457,3.37,2082,-8.64,7353,-3.14
2021,1147061000,신월6동,1845,6.71,2711,0.89,7101,1.76
2021,1147061100,신월7동,4401,2.76,2176,-11.11,10106,-3.31
2021,1147062000,신정동,2711,2.81,4666,-5.03,10449,-2.59
2021,1147063000,신정동,2622,2.34,4217,-1.52,9924,-2.97
2021,1147064000,신정동,7509,10.44,9178,5.58,25479,7.12
2021,1147065000,신정동,5859,1.82,3706,-7.95,16762,-1.97
2021,1147067000,신정동,2822,6.77,5556,-3.73,12589,-2.07
2021,1147068000,신정동,4992,3.44,5172,-5.24,14990,-2.89
2021,11500,강서구,92336,4.06,80163,-4.86,298023,-0.71
2021,1150051000,창동,4417,4.25,8353,-4.18,21493,-0.18
2021,1150052000,등촌동,2927,4.42,2454,-7.74,12996,1.14
2021,1150053000,등촌동,3185,2.97,2739,-7.47,10389,-3.47
2021,1150053500,등촌동,6752,4.07,3517,-6.96,16058,-2.53
2021,1150054000,화곡동,8394,3.35,4776,-9.99,26627,-1.12
2021,1150055000,화곡동,2871,1.02,2413,-9.96,9178,-2.99
2021,1150056000,화곡동,4089,3.39,2781,-6.08,11228,-0.82
2021,1150057000,화곡동,3832,3.07,2335,-7.52,10494,-2.68
2021,1150059000,화곡동,4889,2.86,4269,-8.74,17623,-0.47
2021,1150059100,화곡동,3940,3.03,2704,-8.46,12845,0.65
2021,1150059300,화곡동,4411,2.46,2700,-9.88,12632,-3.56
2021,1150060300,가양제1동,3112,7.27,3363,-6.84,18521,0.66
2021,1150060400,가양제2동,4133,7.1,884,-11.51,7408,-2.9
2021,1150060500,가양제3동,3714,4.24,1202,-8.17,8065,-2.1
2021,1150061100,발산제1동,4873,4.68,7858,-6.98,19201,-2.22
2021,1150061500,우장산동,5820,3.34,8988,-3.29,22389,-1.96
2021,1150062000,공항동,4278,12.73,5565,28.52,15305,15.35
2021,1150063000,방화제1동,6603,1.8,8044,-5.75,22008,-3.0
2021,1150064000,방화제2동,4842,2.15,2576,-1.68,11828,0.97
2021,1150064100,방화제3동,5254,5.88,2642,-8.64,11735,-2.72
2021,11530,구로구,71445,3.24,55158,-5.53,201217,-1.72
2021,1153051000,신림동,4728,3.12,7009,-1.97,18532,0.15
2021,1153052000,구로동,2662,7.73,3669,-4.75,10631,-1.75
2021,1153053000,구로동,5611,0.56,2148,-8.17,11786,-3.29
2021,1153054000,구로동,3459,2.1,2530,-9.25,11442,-2.26
2021,1153055000,구로동,4469,1.96,1740,-11.27,10133,-3.41
2021,1153056000,구로동,4685,3.63,3197,-7.33,15027,-0.46
2021,1153059500,가리봉동,1893,-5.4,510,-3.41,4058,-4.5
2021,1153072000,고척동,4412,3.96,3056,-7.25,11218,-3.36
2021,1153073000,고척동,5221,4.13,3770,-7.33,13426,-2.74
2021,1153074000,개봉동,6413,3.39,4428,-4.96,16921,-1.42
2021,1153075000,개봉동,6488,4.31,4201,-6.87,15843,-2.6
2021,1153076000,개봉동,4288,3.42,2413,-9.52,10391,-2.38
2021,1153077000,오류동,3996,1.96,2325,-5.87,11595,0.16
2021,1153078000,오류동,7087,4.24,6861,-5.2,19961,-1.4
2021,1153079000,수궁동,4413,3.23,3307,-5.32,11915,-1.72
2021,1153080000,항동,1620,11.57,3994,1.89,8338,1.09
2021,11545,금천구,40442,2.87,25631,-5.83,114284,-0.19
2021,1154551000,가산동,2597,2.93,1301,-6.74,10806,3.36
2021,1154561000,독산제1동,5814,4.64,5595,1.27,21883,6.96
2021,1154562000,독산제2동,3472,3.67,1934,-8.6,9241,-1.72
2021,1154563000,독산제3동,4503,2.83,2180,-8.56,12046,-1.49
2021,1154564000,독산제4동,2889,2.05,1515,-7.17,7551,-2.05
2021,1154567000,시흥동,6191,2.53,3817,-8.47,16500,-2.37
2021,1154568000,시흥동,4074,0.74,3506,-5.65,11018,-3.14
2021,1154569000,시흥동,2372,3.4,1166,-7.31,5432,-3.1
2021,1154570000,시흥동,4154,3.75,2396,-8.72,10219,-2.57
2021,1154571000,시흥동,4376,1.86,2221,-7.3,9588,-2.98
2021,11560,영등포구,61295,1.04,48396,-3.43,190911,-0.48
2021,1156051500,영등포본동,4121,3.78,2545,-6.02,10358,-0.98
2021,1156053500,영등포동,3368,-3.85,2006,-4.48,13886,6.72
2021,1156054000,여의동,6201,0.31,5574,-4.72,17552,-3.04
2021,1156055000,당산제1동,3372,1.47,1980,-7.35,10352,-1.96
2021,1156056000,당산제2동,4676,0.34,5010,-1.8,19922,-0.04
2021,1156058500,도림동,3220,-0.49,1797,-7.56,8784,-3.28
2021,1156060500,문래동,4674,0.26,6232,-1.41,16663,-1.54
2021,1156061000,평동,2371,1.59,2294,2.46,9313,5.53
2021,1156062000,평동,2529,0.8,3022,-7.24,11344,0.72
2021,1156063000,신길동,3241,-1.58,1366,-7.95,8511,-0.94
2021,1156065000,신길동,3101,1.61,2196,-5.67,8377,-2.32
2021,1156066000,신길동,2289,4.9,1646,0.43,6198,1.56
2021,1156067000,신길동,1993,-1.43,1508,-5.22,5449,-5.5
2021,1156068000,신길동,3283,3.6,2350,10.69,9764,5.53
2021,1156069000,신길동,2556,4.45,3775,-1.56,10007,-1.55
2021,1156070000,대림동,3066,0.72,1723,-2.21,7292,-2.59
2021,1156071000,대림동,2804,-0.32,935,-10.95,6033,-4.41
2021,1156072000,대림동,4430,3.97,2437,-7.79,11106,-2.78
2021,11590,동작구,66320,2.14,49959,-4.63,199057,-1.49
2021,1159051000,노량진동,5861,4.29,3757,-4.72,15906,-1.06
2021,1159052000,노량진동,2255,-15.57,677,-25.85,5250,-14.94
2021,1159053000,상도동,7082,3.1,5679,-7.24,22715,-2.58
2021,1159054000,상도동,4304,-1.74,4375,4.82,14563,0.67
2021,1159055000,상도동,4428,2.62,2654,-8.58,12827,-2.05
2021,1159056000,상도동,5126,4.63,3319,-7.93,14713,-1.2
2021,1159060500,흑석동,5702,-0.18,4379,-3.21,16136,-3.02
2021,1159062000,사당동,3780,3.11,1612,-6.77,11966,-1.28
2021,1159063000,사당동,5464,4.69,3565,3.36,14476,2.48
2021,1159064000,사당동,4480,2.17,3595,-4.44,12542,-2.7
2021,1159065000,사당동,2675,2.18,1397,-6.62,7375,-1.95
2021,1159065100,사당동,2343,3.72,1946,-5.81,7508,-0.74
2021,1159066000,대방동,5797,3.57,6015,-7.25,19973,-1.79
2021,1159067000,신대방동,3817,3.98,3760,-7.27,12049,-1.82
2021,1159068000,신대방동,3206,5.22,3229,2.22,11058,4.51
2021,11620,관악구,79371,1.2,46900,-7.99,241708,-2.03
2021,1162052500,보라매동,4456,1.43,2526,-5.57,12398,-0.92
2021,1162054500,청림동,2725,0.33,2294,-6.06,7760,-2.44
2021,1162056500,성현동,5367,0.62,4645,-6.93,15118,-3.49
2021,1162057500,행운동,4369,1.06,2348,-8.96,14891,-1.17
2021,1162058500,낙성대동,2014,2.18,1378,-10.05,8385,-0.69
2021,1162059500,청룡동,4506,1.99,2731,-7.64,18339,0.5
2021,1162060500,은천동,5879,1.33,4512,-5.9,17004,-2.17
2021,1162061500,중앙동,2343,-2.54,939,-7.67,7840,-2.39
2021,1162062500,인헌동,4011,1.31,2482,-9.65,13246,-1.22
2021,1162063000,남현동,2785,2.77,1668,-8.85,9365,-1.51
2021,1162064500,서원동,3304,1.57,1444,-5.99,10897,-1.78
2021,1162065500,신원동,3225,-0.03,1295,-11.78,8808,-3.63
